[2026-07-28T00:38:11.845Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-28T00:38:11.853Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthSQBK6PYK3EXw.woff2 → pending (?ms, ?B)
[2026-07-28T00:38:14.154Z] GET https://0xkayser.github.io/demo-sites/tattoo → 301 (180ms, 162B)
[2026-07-28T00:38:14.334Z] GET https://0xkayser.github.io/demo-sites/tattoo/ → 200 (173ms, 2541B)
[2026-07-28T00:38:14.512Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Inter:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (182ms, 933B)
[2026-07-28T00:38:14.512Z] GET https://0xkayser.github.io/demo-sites/redesign.css → 200 (?ms, -694B)
[2026-07-28T00:38:14.513Z] GET https://0xkayser.github.io/demo-sites/redesign.js → 200 (1ms, -726B)
[2026-07-28T00:38:14.702Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthSQBK6PYK3EXw.woff2 → 200 (?ms, -814B)
[2026-07-28T00:38:14.703Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, -814B)
[2026-07-28T00:38:14.703Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa0ZL7W0Q5n-wU.woff2 → 200 (?ms, -815B)
[2026-07-28T00:38:14.703Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-07-28T00:38:14.703Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (75ms, 22349B)
[2026-07-28T00:38:14.703Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (56ms, 8751B)
[2026-07-28T00:38:16.977Z] GET https://0xkayser.github.io/demo-sites/detailing → 301 (276ms, 162B)
[2026-07-28T00:38:17.253Z] GET https://0xkayser.github.io/demo-sites/detailing/ → 200 (173ms, 2009B)
[2026-07-28T00:38:17.433Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (175ms, 651B)
[2026-07-28T00:38:17.433Z] GET https://0xkayser.github.io/demo-sites/redesign.css → 200 (?ms, -694B)
[2026-07-28T00:38:17.433Z] GET https://0xkayser.github.io/demo-sites/redesign.js → 200 (1ms, -726B)
[2026-07-28T00:38:17.610Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthSQBK6PYK3EXw.woff2 → 200 (1ms, -814B)
[2026-07-28T00:38:17.611Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, -814B)
[2026-07-28T00:38:17.611Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (?ms, -814B)
[2026-07-28T00:38:17.611Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -815B)
[2026-07-28T00:38:17.611Z] GET https://0xkayser.github.io/demo-sites/assets/detailing-before.jpg → pending (?ms, ?B)
[2026-07-28T00:38:17.611Z] GET https://0xkayser.github.io/demo-sites/assets/detailing-after.jpg → pending (?ms, ?B)
[2026-07-28T00:45:18.675Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/dental/index.html → 200 (1ms, 4628B)
[2026-07-28T00:45:18.735Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Inter:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (2ms, -698B)
[2026-07-28T00:45:18.735Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.css → 200 (?ms, 71186B)
[2026-07-28T00:45:18.735Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.js → 200 (2ms, 10274B)
[2026-07-28T00:45:18.735Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/stage.js → 200 (2ms, 12291B)
[2026-07-28T00:45:18.805Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (1ms, -815B)
[2026-07-28T00:45:18.805Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa0ZL7W0Q5n-wU.woff2 → 200 (1ms, -815B)
[2026-07-28T00:45:18.805Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, -814B)
[2026-07-28T00:45:18.805Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-28T00:45:18.805Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (230ms, 85311B)
[2026-07-28T00:45:22.089Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/banya/index.html → 200 (1ms, 4107B)
[2026-07-28T00:45:22.094Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Inter:wght@400;500&display=swap → 200 (1ms, -698B)
[2026-07-28T00:45:22.094Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.css → 200 (1ms, 71186B)
[2026-07-28T00:45:22.094Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.js → 200 (1ms, 10274B)
[2026-07-28T00:45:22.094Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/stage.js → 200 (1ms, 12291B)
[2026-07-28T00:45:22.103Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/assets/banya.jpg → 200 (2ms, 219034B)
[2026-07-28T00:45:22.104Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa0ZL7W0Q5n-wU.woff2 → 200 (1ms, -815B)
[2026-07-28T00:45:22.104Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (5ms, -815B)
[2026-07-28T00:45:22.104Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (5ms, -814B)
[2026-07-28T00:45:22.104Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthSQBK6PYK3EXw.woff2 → 200 (5ms, -814B)
[2026-07-28T00:45:25.475Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/detailing/index.html → 200 (1ms, 4602B)
[2026-07-28T00:45:25.484Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (1ms, -698B)
[2026-07-28T00:45:25.484Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.css → 200 (1ms, 71186B)
[2026-07-28T00:45:25.484Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.js → 200 (1ms, 10274B)
[2026-07-28T00:45:25.484Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/stage.js → 200 (1ms, 12291B)
[2026-07-28T00:45:25.488Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/assets/detailing-before.jpg → 200 (?ms, 363988B)
[2026-07-28T00:45:25.488Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/assets/detailing-after.jpg → 200 (?ms, 299146B)
[2026-07-28T00:45:25.488Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -815B)
[2026-07-28T00:45:25.488Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (?ms, -814B)
[2026-07-28T00:45:25.494Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTR7PB1QTsUX8KYvumzEYOtbYf-Vlg.woff2 → 200 (1ms, -814B)
[2026-07-28T00:45:25.494Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthSQBK6PYK3EXw.woff2 → 200 (1ms, -814B)
[2026-07-28T00:46:14.759Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/dental/index.html → 200 (?ms, 4628B)
[2026-07-28T00:46:14.763Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=Inter:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (2ms, -698B)
[2026-07-28T00:46:14.763Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.css → 200 (2ms, 71186B)
[2026-07-28T00:46:14.764Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/redesign.js → 200 (1ms, 10274B)
[2026-07-28T00:46:14.764Z] GET file:///Users/jopajopish/Desktop/avito-sites/demo/stage.js → 200 (1ms, 12513B)
[2026-07-28T00:46:14.773Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (2ms, -815B)
[2026-07-28T00:46:14.773Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa0ZL7W0Q5n-wU.woff2 → 200 (2ms, -815B)
[2026-07-28T00:46:14.773Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBK6PYK0.woff2 → 200 (2ms, -814B)
[2026-07-28T00:46:14.773Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (3ms, -815B)
[2026-07-28T00:46:14.773Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7W0Q5n-wU.woff2 → 200 (3ms, -815B)
